Elevation (deg) - Measured	
6.65	9.67773
6.655	9.67773
6.66	9.67773
6.665	9.67773
6.67	9.67773
6.675	9.67773
6.68	9.67773
6.685	9.76563
6.69	9.76563
6.695	9.76563
6.7	9.76563
6.705	9.76563
6.71	9.76563
6.715	9.76563
6.72	9.76563
6.725	9.76563
6.73	9.76563
6.735	9.76563
6.74	9.76563
6.745	9.76563
6.75	9.76563
6.755	9.85352
6.76	9.85352
6.765	9.85352
6.77	9.85352
6.775	9.85352
6.78	9.85352
6.785	9.85352
6.79	9.85352
6.795	9.85352
6.8	9.85352
6.805	9.85352
6.81	9.85352
6.815	9.85352
6.82	9.85352
6.825	9.85352
6.83	9.85352
6.835	9.85352
6.84	9.85352
6.845	9.85352
6.85	9.85352
6.855	9.85352
6.86	9.85352
6.865	9.85352
6.87	9.85352
6.875	9.85352
6.88	9.85352
6.885	9.85352
6.89	9.94141
6.895	9.94141
6.9	9.94141
6.905	9.94141
6.91	9.94141
6.915	9.94141
6.92	9.94141
6.925	9.94141
6.93	9.94141
6.935	9.94141
6.94	9.94141
6.945	9.94141
6.95	9.94141
6.955	9.94141
6.96	9.94141
6.965	9.94141
6.97	9.94141
6.975	10.0293
6.98	10.0293
6.985	10.0293
6.99	10.0293
6.995	10.0293
7	10.0293
7.005	10.0293
7.01	10.0293
7.015	10.0293
7.02	10.0293
7.025	10.0293
7.03	10.0293
7.035	10.0293
7.04	10.0293
7.045	10.0293
7.05	10.0293
7.055	10.0293
7.06	10.0293
7.065	10.0293
7.07	10.0293
7.075	10.0293
7.08	10.0293
7.085	10.0293
7.09	10.0293
7.095	10.0293
7.1	10.0293
7.105	10.0293
7.11	10.0293
7.115	10.0293
7.12	10.0293
7.125	10.0293
7.13	10.0293
7.135	10.0293
7.14	10.0293
7.145	10.0293
